SIMBOLO,FECHA,VENCIMIENTO,TIPO DE SERIE,CIERRE,APERTURA,MAXIMO,MINIMO,PRECIO PROMEDIO,VOLUMEN NOMINAL,MONTO NEGOCIADO,CANTIDAD DE OPERACIONES
ALUA,2023-12-07,48 hs.,Homogenea,1097,"1039,5",1100,"1011,5","1065,919",2207651,2353176745,9132
TXAR,2023-12-07,48 hs.,Homogenea,1004,946,1015,922,"986,56",1843833,"1819183159,5",6201
TRAN,2023-12-07,48 hs.,Homogenea,"1047,5",1030,1050,1011,"1042,327",383241,399462612,1934
TGSU2,2023-12-07,48 hs.,Homogenea,"2772,5",2561,2785,2530,"2656,913",716227,"1902953142,65",4512
TGNO4,2023-12-07,48 hs.,Homogenea,1487,1500,"1527,5",1450,"1486,323",476460,708173383,3247
TECO2,2023-12-07,48 hs.,Homogenea,"1630,6",1650,1650,1550,"1600,766",375413,"600948492,8",2281
SUPV,2023-12-07,48 hs.,Homogenea,"736,65",655,"749,1",649,"715,049",1052207,"752379483,6",3184
PAMP,2023-12-07,48 hs.,Homogenea,"1901,1",1842,1925,1775,"1861,905",1404007,"2614127263,3",11073
MIRG,2023-12-07,48 hs.,Homogenea,11733,10895,11900,10600,"11183,496","13090,4",146396441,998
LOMA,2023-12-07,48 hs.,Homogenea,"1310,9",1300,1317,1230,"1284,493",291315,"374192178,35",2820
YPFD,2023-12-07,48 hs.,Homogenea,"16489,1",16000,16801,15630,"16224,777",595505,"9661935548,15",13751
GGAL,2023-12-07,48 hs.,Homogenea,1657,1640,1695,1613,"1661,888",2667742,"4433467126,5",6357
CRES,2023-12-06,48 hs.,Homogenea,"878,35",925,930,840,"877,011",1621568,"1422132430,3",6860
VALO,2023-12-06,48 hs.,Homogenea,187,"180,5","187,75",175,"186,163",809400,150680607,2106
BYMA,2023-12-06,48 hs.,Homogenea,"771,5",799,799,745,"775,38",322209,250019241,1953
TGSU2,2023-12-06,48 hs.,Homogenea,"2511,05",2523,2600,2393,"2480,602",840077,"2083896849,6",4192
EDN,2023-12-06,48 hs.,Homogenea,"810,4","817,5",860,770,"814,082",518050,"421735057,05",2736
TGNO4,2023-12-06,48 hs.,Homogenea,"1474,5",1420,1500,"1310,5","1424,077",547517,779706229,2957
BMA,2023-12-06,48 hs.,Homogenea,"2503,25","2552,65","2613,5",2418,"2480,764",220636,"547345850,75",1950
TECO2,2023-12-06,48 hs.,Homogenea,"1596,05",1605,"1662,2",1510,"1570,527",134510,"211251648,25",1710
COME,2023-12-06,48 hs.,Homogenea,"63,75",66,"66,9","63,3","64,612",3179133,"205419958,2",3624
SUPV,2023-12-06,48 hs.,Homogenea,"655,8",635,680,620,"648,975",354758,"230229163,1",1867
BBAR,2023-12-06,48 hs.,Homogenea,"1727,4",1725,1785,"1651,5","1654,642",423516,"717021016,1",1510
PAMP,2023-12-06,48 hs.,Homogenea,"1800,2",1807,1850,"1716,5","1782,028",1096048,"1953188176,95",8593
GGAL,2023-12-06,48 hs.,Homogenea,"1631,35",1642,1678,"1563,75","1622,867",1784772,"2896505893,05",4859
MIRG,2023-12-06,48 hs.,Homogenea,10761,11214,11214,"10514,5","10795,984","6512,9","70313162,95",596
ALUA,2023-12-06,48 hs.,Homogenea,"1024,5",1000,1030,990,"1007,539",1163605,"1172447042,5",6114
LOMA,2023-12-06,48 hs.,Homogenea,"1272,65",1298,1300,1201,"1268,958",252378,"320257078,4",1481
CEPU,2023-12-06,48 hs.,Homogenea,"799,977","763,556","824,764","736,49","779,357",1658115,"1360793661,65",4891
YPFD,2023-12-06,48 hs.,Homogenea,"15800,3",16020,16800,15100,"15696,82",526635,"8266494550,8",11085
TXAR,2023-12-06,48 hs.,Homogenea,"941,5",890,948,877,"908,683",1154991,1049684351,5002
TRAN,2023-12-06,48 hs.,Homogenea,"1024,5",1027,1100,980,"1023,063",590883,604510828,2464
VALO,2023-12-05,48 hs.,Homogenea,"180,5","171,5",181,"169,25","177,417",986310,"174987910,5",1811
YPFD,2023-12-05,48 hs.,Homogenea,"16149,25",14800,16173,"14650,5","15641,47",347822,"5440631457,75",8355
LOMA,2023-12-05,48 hs.,Homogenea,"1267,75","1214,5","1272,1",1184,"1246,857",160825,"200525785,45",1418
MIRG,2023-12-05,48 hs.,Homogenea,"10924,5",10650,10995,"10504,5","10749,972","11088,6","119202143,3",747
PAMP,2023-12-05,48 hs.,Homogenea,"1806,85","1693,3","1812,15","1693,3","1763,296",970204,"1710757305,25",7440
SUPV,2023-12-05,48 hs.,Homogenea,"649,45",612,652,601,"641,123",263655,"169035320,4",1604
TECO2,2023-12-05,48 hs.,Homogenea,"1596,4",1538,1615,1483,"1577,134",269211,"424581707,55",1207
TGNO4,2023-12-05,48 hs.,Homogenea,1385,1240,1409,1200,"1354,656",400320,"542296022,5",2871
TGSU2,2023-12-05,48 hs.,Homogenea,"2493,75",2459,"2566,5",2415,"2476,228",650877,"1611719850,4",3384
TRAN,2023-12-05,48 hs.,Homogenea,1027,919,1040,918,"985,953",864013,851876342,2035
TXAR,2023-12-05,48 hs.,Homogenea,882,920,939,865,"900,05",1293610,1164313869,5050
ALUA,2023-12-05,48 hs.,Homogenea,986,1026,"1043,5",950,"1001,961",1682432,"1685867852,5",9443
BBAR,2023-12-05,48 hs.,Homogenea,"1732,9",1635,1744,1603,"1703,669",109308,"186224649,3",1307
BMA,2023-12-05,48 hs.,Homogenea,"2552,65",2478,"2585,5",2425,"2511,311",286354,"719123892,05",1966
BYMA,2023-12-05,48 hs.,Homogenea,763,730,785,"729,5","751,937",690008,"518842695,5",2764
CEPU,2023-12-05,48 hs.,Homogenea,"759,852","688,53","769,254","688,53","735,078",1450446,"1122715612,8",5037
COME,2023-12-05,48 hs.,Homogenea,"64,65",62,66,"61,7","64,818",4346593,282119879,3739
CRES,2023-12-05,48 hs.,Homogenea,"898,35",850,900,849,"875,664",1187759,"1040543884,2",3760
EDN,2023-12-05,48 hs.,Homogenea,"816,6",760,"828,95",749,"794,983",312083,248100658,2563
GGAL,2023-12-05,48 hs.,Homogenea,"1641,35",1526,"1655,5",1506,"1615,29",2945044,"4756540869,8",6617
YPFD,2023-12-04,48 hs.,Homogenea,"14664,55",15350,"15437,75",14500,"14910,96",254197,"3790432400,4",6926
GGAL,2023-12-04,48 hs.,Homogenea,"1521,45",1601,"1613,5",1471,"1524,55",2095250,"3193284373,45",5878
EDN,2023-12-04,48 hs.,Homogenea,"756,7",778,804,722,"760,247",185293,"140868519,2",1932
CRES,2023-12-04,48 hs.,Homogenea,"844,85","867,9",919,836,"869,77",1100512,"957901242,9",4539
COME,2023-12-04,48 hs.,Homogenea,"62,15","64,3","64,95","61,25","62,47",2835099,"177170806,5",3025
CEPU,2023-12-04,48 hs.,Homogenea,"688,435","739,814","742,758","676,184","696,407",1466950,"1075705947,45",4904
BYMA,2023-12-04,48 hs.,Homogenea,"728,5",711,735,711,"726,453",309466,"224812406,5",2353
BMA,2023-12-04,48 hs.,Homogenea,"2477,6","2590,1",2627,2390,"2480,267",378506,"938795800,2",2375
BBAR,2023-12-04,48 hs.,Homogenea,"1646,3",1689,1689,1600,"1639,86",116527,"191088024,35",1267
ALUA,2023-12-04,48 hs.,Homogenea,1026,1065,1080,950,"1023,843",1373395,"1406720327,5",8960
VALO,2023-12-04,48 hs.,Homogenea,"168,5",169,172,162,"168,61",525795,88654298,1660
TXAR,2023-12-04,48 hs.,Homogenea,920,949,949,855,"900,602",846127,762063313,4389
TRAN,2023-12-04,48 hs.,Homogenea,"918,5","869,5",920,"841,5","880,896",427989,377013803,1582
TGSU2,2023-12-04,48 hs.,Homogenea,"2415,85",2610,2699,2390,"2456,543",443474,"1089413149,75",3443
TGNO4,2023-12-04,48 hs.,Homogenea,1241,"1208,5",1250,1140,"1206,119",233530,281664865,1518
TECO2,2023-12-04,48 hs.,Homogenea,"1536,5",1562,1610,"1458,2","1514,504",91895,"139175337,75",1020
SUPV,2023-12-04,48 hs.,Homogenea,"611,75",630,"648,5","581,5","612,422",186378,"114141971,75",1683
PAMP,2023-12-04,48 hs.,Homogenea,"1693,25",1750,1795,"1644,4","1702,213",792829,"1349563755,1",7543
MIRG,2023-12-04,48 hs.,Homogenea,10793,11000,11200,10510,"10759,216","5661,5","60913303,45",526
LOMA,2023-12-04,48 hs.,Homogenea,"1215,95",1280,1280,"1180,5","1244,114",165040,"205328566,7",1490
VALO,2023-12-01,48 hs.,Homogenea,"167,25",162,"167,75",162,"165,723",532733,"88286116,5",1610
YPFD,2023-12-01,48 hs.,Homogenea,"15296,9",14500,15450,14216,"14695,544",339057,"4982627122,25",7486
TXAR,2023-12-01,48 hs.,Homogenea,919,849,950,840,"906,604",1927022,1747045805,5416
BYMA,2023-12-01,48 hs.,Homogenea,"711,5","675,5",718,"675,5","698,051",339694,237123696,1927
TRAN,2023-12-01,48 hs.,Homogenea,"859,5","819,5",862,783,"813,874",369851,"301012045,5",1063
EDN,2023-12-01,48 hs.,Homogenea,"771,15",736,"779,95",710,"736,37",312467,"230091260,15",2414
TGSU2,2023-12-01,48 hs.,Homogenea,"2560,45",2490,2588,"2380,15","2461,993",244932,"603020948,35",2313
BMA,2023-12-01,48 hs.,Homogenea,"2633,8",2389,2680,2332,"2429,44",134040,"325642166,1",1445
TGNO4,2023-12-01,48 hs.,Homogenea,"1208,5",1160,1250,1111,"1179,896",163802,193293364,1411
COME,2023-12-01,48 hs.,Homogenea,64,"63,65","64,2","61,5","62,945",3421106,"215346759,85",3402
TECO2,2023-12-01,48 hs.,Homogenea,"1557,1",1520,1575,1451,"1507,831",120689,"181978639,55",1328
BBAR,2023-12-01,48 hs.,Homogenea,"1679,65",1600,1690,1553,"1626,69",135660,"220676725,65",1321
SUPV,2023-12-01,48 hs.,Homogenea,"633,25",605,649,583,"622,854",285487,"177816696,4",1671
GGAL,2023-12-01,48 hs.,Homogenea,"1600,35","1500,5",1604,1461,"1513,312",2458938,"3720276044,15",5334
PAMP,2023-12-01,48 hs.,Homogenea,"1738,5",1630,1747,"1601,5","1674,559",1166706,"1953717901,75",7108
ALUA,2023-12-01,48 hs.,Homogenea,1050,985,1055,980,"1022,067",2582081,2639277127,9662
MIRG,2023-12-01,48 hs.,Homogenea,11167,10630,11220,10250,"10749,492","11366,1","122179796,85",804
CEPU,2023-12-01,48 hs.,Homogenea,"727,23","712,272","731,266","674,285","699,624",2029368,1494999569,5038
LOMA,2023-12-01,48 hs.,Homogenea,"1260,05",1200,1270,1148,"1188,744",149793,178065529,1613
CRES,2023-12-01,48 hs.,Homogenea,"861,1",870,870,"819,5","842,744",1326362,"1117783421,25",3918
BMA,2023-11-30,48 hs.,Homogenea,"2383,55",2450,2450,2260,"2349,114",240040,"563881268,05",1235
BBAR,2023-11-30,48 hs.,Homogenea,"1589,55",1540,1600,1463,"1530,723",138227,"211587183,8",1056
GGAL,2023-11-30,48 hs.,Homogenea,"1501,65",1464,1508,"1405,35","1443,823",2452378,"3539268547,25",3513
YPFD,2023-11-30,48 hs.,Homogenea,"14346,1",14350,14793,13500,"14028,83",352825,"4949721821,7",5529
MIRG,2023-11-30,48 hs.,Homogenea,10663,10600,"10989,5",10350,"10570,329","7248,3","76616914,1",598
EDN,2023-11-30,48 hs.,Homogenea,"710,6","694,95",736,"648,5","680,789",226910,"154477900,35",1676
TRAN,2023-11-30,48 hs.,Homogenea,"797,5",801,820,"770,5","785,718",159567,"125374681,5",775
PAMP,2023-11-30,48 hs.,Homogenea,"1633,4",1600,1645,1530,"1585,265",697404,1105570295,4577
CRES,2023-11-30,48 hs.,Homogenea,"838,7",835,889,787,"811,14",876147,"710719465,65",3428
TGSU2,2023-11-30,48 hs.,Homogenea,"2405,85",2350,2423,2250,"2338,718",185534,"433911682,75",1715
ALUA,2023-11-30,48 hs.,Homogenea,953,925,966,880,"940,683",2354635,"2215156879,5",9883
BYMA,2023-11-30,48 hs.,Homogenea,"675,5",645,680,622,"652,204",149874,"97748493,5",1288
TGNO4,2023-11-30,48 hs.,Homogenea,1146,1140,1185,1050,"1113,136",170902,190237236,1228
TXAR,2023-11-30,48 hs.,Homogenea,828,800,"833,5",774,"817,426",860389,703367802,3727
CEPU,2023-11-30,48 hs.,Homogenea,"707,002","686,631","708,616","641,045","676,836",637137,"454079431,8",2296
TECO2,2023-11-30,48 hs.,Homogenea,"1499,85",1450,"1516,8","1389,6","1448,945",151172,"219039984,9",957
VALO,2023-11-30,48 hs.,Homogenea,"162,5",161,167,161,"163,453",430702,"70399741,75",1097
COME,2023-11-30,48 hs.,Homogenea,"62,038","62,038","62,629","58,099","61,122",3117827,"193791163,85",2895
SUPV,2023-11-30,48 hs.,Homogenea,"608,85",602,617,571,"599,001",149899,89789658,1417
LOMA,2023-11-30,48 hs.,Homogenea,"1163,05",1105,1180,1051,"1119,854",589956,"660664354,2",1611
LOMA,2023-11-29,48 hs.,Homogenea,"1085,95",1080,1125,1070,"1090,41",198324,"216254445,45",1502
GGAL,2023-11-29,48 hs.,Homogenea,"1480,2",1440,"1508,95",1405,"1465,357",1993358,"2925824070,9",3763
EDN,2023-11-29,48 hs.,Homogenea,"668,65",682,695,642,"658,207",1034083,"680641040,15",2553
CRES,2023-11-29,48 hs.,Homogenea,"828,75",800,870,"796,5","827,46",572628,"473826721,2",2810
COME,2023-11-29,48 hs.,Homogenea,"61,053","58,099","61,447","57,705","59,816",4150697,"252039777,95",2649
CEPU,2023-11-29,48 hs.,Homogenea,"672,67","681,882","706,099","644,749","675,73",1163434,"827808482,65",2736
BYMA,2023-11-29,48 hs.,Homogenea,"642,5",640,665,631,"639,791",650272,416037850,1631
BMA,2023-11-29,48 hs.,Homogenea,"2402,65",2374,2450,2260,"2402,312",283914,"682050098,25",1745
BBAR,2023-11-29,48 hs.,Homogenea,"1530,85",1535,1582,1472,"1526,877",299289,"456977525,8",1511
ALUA,2023-11-29,48 hs.,Homogenea,"895,5",855,910,855,"889,323",1059268,942090673,5744
YPFD,2023-11-29,48 hs.,Homogenea,"14301,45",14316,"15088,3","14208,8","14457,52",369811,"5346550092,6",6393
VALO,2023-11-29,48 hs.,Homogenea,"163,5",163,168,162,"164,545",642871,"105781320,75",1224
TXAR,2023-11-29,48 hs.,Homogenea,790,760,810,760,"796,858",1257766,1002260544,3893
TRAN,2023-11-29,48 hs.,Homogenea,794,772,795,752,"783,185",518362,405973579,853
TGSU2,2023-11-29,48 hs.,Homogenea,"2361,95",2391,2515,2340,"2405,247",306088,736217178,2191
TGNO4,2023-11-29,48 hs.,Homogenea,1135,1099,1175,1030,"1115,253",240800,"268553027,5",1466
TECO2,2023-11-29,48 hs.,Homogenea,"1421,7",1320,"1432,95",1320,"1398,622",138742,"194047630,1",916
SUPV,2023-11-29,48 hs.,Homogenea,"599,95",580,"606,1","553,55","582,021",318756,"185522610,1",1406
PAMP,2023-11-29,48 hs.,Homogenea,"1574,55",1570,1665,1536,"1599,653",953408,"1525121695,4",5645
MIRG,2023-11-29,48 hs.,Homogenea,10634,10200,11500,"10010,5","10582,421","11861,7","125525501,95",733
ALUA,2023-11-28,48 hs.,Homogenea,834,945,"952,5",816,"871,042",1875071,1633249450,6527
LOMA,2023-11-28,48 hs.,Homogenea,"1071,6",1185,1248,"1068,9","1102,715",187557,"206821905,9",1371
TGNO4,2023-11-28,48 hs.,Homogenea,1076,1143,1187,1015,"1089,551",218112,"237644206,5",1255
BBAR,2023-11-28,48 hs.,Homogenea,"1527,3",1700,1729,1485,"1560,372",371919,"580332123,35",1672
CEPU,2023-11-28,48 hs.,Homogenea,"667,162","724,619","729,367","645,841","675,456",1502766,"1068816344,85",3549
TGSU2,2023-11-28,48 hs.,Homogenea,"2399,65",2701,2740,"2337,95","2435,178",553628,"1348182896,75",2931
VALO,2023-11-28,48 hs.,Homogenea,163,"174,5",179,163,"169,987",756490,128593154,1770
BYMA,2023-11-28,48 hs.,Homogenea,"637,5","684,5","689,5",612,"638,185",388325,247823221,2008
TRAN,2023-11-28,48 hs.,Homogenea,765,753,800,735,"754,921",441341,333560056,1262
TECO2,2023-11-28,48 hs.,Homogenea,"1371,4",1600,"1619,95",1340,"1472,554",358677,"528171393,4",1678
CRES,2023-11-28,48 hs.,Homogenea,"796,9",870,905,"794,5","825,858",566247,"467639742,7",3272
TXAR,2023-11-28,48 hs.,Homogenea,"757,5",840,"870,5",750,"796,081",2211208,"1760300643,5",4496
SUPV,2023-11-28,48 hs.,Homogenea,"569,8",600,"661,5","532,5","581,219",1277899,"742738906,8",2478
EDN,2023-11-28,48 hs.,Homogenea,"680,6",759,800,670,"709,346",347658,"246609732,6",2235
BMA,2023-11-28,48 hs.,Homogenea,"2299,6",2629,2629,2241,"2352,129",552386,1299282926,1967
PAMP,2023-11-28,48 hs.,Homogenea,"1566,75",1701,1784,1555,"1615,961",1145281,"1850729697,15",5868
GGAL,2023-11-28,48 hs.,Homogenea,"1438,85",1640,1640,1412,"1471,123",3914241,"5758137872,85",6274
YPFD,2023-11-28,48 hs.,Homogenea,"14407,8",15790,16249,14300,"14740,698",398127,"5868669759,75",8178
MIRG,2023-11-28,48 hs.,Homogenea,"10096,5",10350,10350,9001,"9725,815","22090,1","214844223,8",768
COME,2023-11-28,48 hs.,Homogenea,"57,508","60,462","61,053","55,342","57,07",4672677,"270828371,4",2689
