SIMBOLO,FECHA,VENCIMIENTO,TIPO DE SERIE,CIERRE,APERTURA,MAXIMO,MINIMO,PRECIO PROMEDIO,VOLUMEN NOMINAL,MONTO NEGOCIADO,CANTIDAD DE OPERACIONES
TGSU2,2024-01-23,48 hs.,Homogenea,"3810,3","3865,35",3998,"3706,8","3811,436",229115,873257209,1919
ALUA,2024-01-23,48 hs.,Homogenea,1048,1012,1059,1000,"1032,305",1344071,1387490961,6176
BYMA,2024-01-23,48 hs.,Homogenea,"1192,5",1150,1200,1130,"1173,83",609126,715010434,3186
TGNO4,2024-01-23,48 hs.,Homogenea,2501,2523,2560,2390,"2468,331",170866,421753861,2026
TXAR,2024-01-23,48 hs.,Homogenea,1012,982,1014,957,"995,267",1275580,1269542717,4574
CEPU,2024-01-23,48 hs.,Homogenea,"1149,55",1220,1235,1136,"1172,936",2081534,2441506207,3852
TECO2,2024-01-23,48 hs.,Homogenea,"1971,9",2075,2182,1880,"1973,28",299818,591624775,2757
VALO,2024-01-23,48 hs.,Homogenea,"280,5",284,290,"278,5","282,334",1492449,421369345,1971
COME,2024-01-23,48 hs.,Homogenea,"90,3","89,3","91,8","86,4","90,407",2404065,217343496,4549
SUPV,2024-01-23,48 hs.,Homogenea,"1080,8",1130,1175,"1049,25","1088,396",700396,762307990,2688
LOMA,2024-01-23,48 hs.,Homogenea,"1871,15",1921,1972,1851,"1886,093",162441,306378765,1605
ALUA,2024-01-22,48 hs.,Homogenea,"1010,5",1025,1025,"997,5","1006,95",1067566,1074985239,6583
VALO,2024-01-22,48 hs.,Homogenea,"281,5",285,287,271,"282,933",1559394,441203314,2693
TXAR,2024-01-22,48 hs.,Homogenea,"982,5",960,987,955,"973,153",756312,736007259,3808
TRAN,2024-01-22,48 hs.,Homogenea,1418,1429,1457,1400,"1443,532",240567,347266271,1482
TGSU2,2024-01-22,48 hs.,Homogenea,"3865,35",3764,3920,3732,"3852,359",189311,729293985,2509
TGNO4,2024-01-22,48 hs.,Homogenea,2499,2395,2508,2395,"2446,435",145761,356594733,2154
TECO2,2024-01-22,48 hs.,Homogenea,"2064,35",1950,"2106,25",1950,"2047,235",159972,327500260,2465
SUPV,2024-01-22,48 hs.,Homogenea,"1114,45",1041,"1134,95",1041,"1105,871",481564,532547528,3515
PAMP,2024-01-22,48 hs.,Homogenea,"2552,25",2520,2620,"2502,5","2572,541",584486,1503614018,8718
MIRG,2024-01-22,48 hs.,Homogenea,"16367,5",16700,16700,"16106,5","16317,665","9181,5",149820645,906
LOMA,2024-01-22,48 hs.,Homogenea,"1919,35",1793,"1925,5",1766,"1877,808",440553,827273782,2639
GGAL,2024-01-22,48 hs.,Homogenea,"2402,7",2260,2410,2259,"2375,836",3054974,7258116977,6506
EDN,2024-01-22,48 hs.,Homogenea,"1329,7",1316,1410,1311,"1366,721",546492,746902119,4260
CRES,2024-01-22,48 hs.,Homogenea,"1231,65",1180,1232,"1174,65","1216,347",610148,742151744,3146
COME,2024-01-22,48 hs.,Homogenea,"89,3",88,91,"87,8","89,516",3714961,332547722,5941
CEPU,2024-01-22,48 hs.,Homogenea,"1209,45",1200,1230,"1189,9","1213,726",956497,1160925552,4198
BYMA,2024-01-22,48 hs.,Homogenea,"1142,5",1125,1150,1095,"1136,554",388797,441888952,2589
BMA,2024-01-22,48 hs.,Homogenea,"3975,7",3750,4000,3750,"3901,91",321875,1255927209,2821
BBAR,2024-01-22,48 hs.,Homogenea,"2465,6",2260,"2479,9",2235,"2419,16",163095,394552866,2925
YPFD,2024-01-22,48 hs.,Homogenea,"20531,9",20250,"20852,65",19200,"20433,803",257760,5267016933,6892
BMA,2024-01-19,48 hs.,Homogenea,"3712,55",3600,3765,3550,"3665,214",477885,1751550653,2283
BBAR,2024-01-19,48 hs.,Homogenea,"2278,65",2180,2300,2152,"2228,039",105648,235387893,1987
GGAL,2024-01-19,48 hs.,Homogenea,"2248,8",2130,2260,2120,"2195,095",2314624,5080819893,5417
YPFD,2024-01-19,48 hs.,Homogenea,"20175,2",19620,20300,19000,"20003,254",190213,3804878885,5527
MIRG,2024-01-19,48 hs.,Homogenea,"16106,5",16150,16350,"15810,5","16139,448","9307,4",150216297,849
EDN,2024-01-19,48 hs.,Homogenea,"1294,45",1200,1300,1190,"1240,892",327382,406245626,3125
TRAN,2024-01-19,48 hs.,Homogenea,1399,1370,1426,1350,"1404,962",556473,781823314,1605
PAMP,2024-01-19,48 hs.,Homogenea,"2490,95",2420,2500,2380,"2441,572",1096930,2678234001,8294
CRES,2024-01-19,48 hs.,Homogenea,"1174,85",1100,1193,1100,"1159,988",429563,498287886,3617
TGSU2,2024-01-19,48 hs.,Homogenea,3756,3600,3771,3550,"3671,744",199982,734282769,2062
ALUA,2024-01-19,48 hs.,Homogenea,1007,"1020,5",1040,995,"1009,04",823211,830652538,5978
BYMA,2024-01-19,48 hs.,Homogenea,"1094,5",1060,1109,1050,"1092,097",554087,605116797,2227
TGNO4,2024-01-19,48 hs.,Homogenea,"2388,5",2380,2400,2275,"2370,132",230834,547106931,2028
TXAR,2024-01-19,48 hs.,Homogenea,955,950,972,950,"961,109",971645,933856275,3617
CEPU,2024-01-19,48 hs.,Homogenea,"1192,6",1143,1200,1130,"1164,22",964718,1123143916,3760
TECO2,2024-01-19,48 hs.,Homogenea,"1932,7",1753,1959,1740,"1880,995",211707,398219745,2372
VALO,2024-01-19,48 hs.,Homogenea,"279,5","266,5",280,"266,5","275,821",699402,192909864,2637
COME,2024-01-19,48 hs.,Homogenea,"87,85",88,"89,3","86,5","88,05",4474746,393999094,5238
SUPV,2024-01-19,48 hs.,Homogenea,"1032,9",1000,1050,995,"1026,6",565509,580551533,2869
LOMA,2024-01-19,48 hs.,Homogenea,"1792,7",1750,"1808,5",1690,"1768,588",657024,1162004566,2631
VALO,2024-01-18,48 hs.,Homogenea,266,"263,5",274,255,"267,01",859442,229479870,2264
GGAL,2024-01-18,48 hs.,Homogenea,"2108,25",2065,2130,2030,"2086,864",3305773,6898699068,4766
LOMA,2024-01-18,48 hs.,Homogenea,"1733,05",1697,1740,1656,"1710,276",448118,766405220,1558
MIRG,2024-01-18,48 hs.,Homogenea,16156,16676,16750,15750,"16082,73","26239,7",422006020,1369
PAMP,2024-01-18,48 hs.,Homogenea,"2404,35",2469,2500,"2400,5","2437,446",806798,1966526142,10347
SUPV,2024-01-18,48 hs.,Homogenea,"988,1",950,990,"936,5","972,651",861990,838415141,2824
TECO2,2024-01-18,48 hs.,Homogenea,"1735,35",1725,1786,1724,"1753,459",80518,141185008,1056
TGNO4,2024-01-18,48 hs.,Homogenea,2327,2360,2399,2220,"2311,256",160929,371948163,2437
TGSU2,2024-01-18,48 hs.,Homogenea,"3564,6",3700,3780,"3534,05","3625,679",288091,1044525465,3355
TRAN,2024-01-18,48 hs.,Homogenea,1360,1426,1450,1345,"1400,915",654752,917251603,1696
TXAR,2024-01-18,48 hs.,Homogenea,"953,5",971,999,948,"973,656",945857,920939154,4272
